stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
42,0.5,1.5,49.67193749999569,,49.66508341599547,49.67193749999569,50.1583624999912,50.1583624999912,50.16999974999635,50.45332891600265,50.84682520799106,left,-1.5,1,1,0.680699916993035,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
43,0.5,1.0,50.86990129099286,,50.847200290998444,50.86990129099286,51.339466249992256,51.339466249992256,51.36142945800384,51.63641933299368,52.139519958000164,right,1.0,1,1,0.7895885420002742,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
44,0.5,1.0,52.14717179100262,,52.140119582996704,52.14717179100262,52.63675437499478,52.63675437499478,52.64466870800243,52.92826166599116,53.73427966599411,right,1.0,0,0,1.0942107500013663,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
45,0.5,1.5,53.74351720800041,,53.734752916003345,53.74351720800041,54.22590870800195,54.22590870800195,54.23161491600331,54.52837312499469,54.92223520799598,left,-1.5,1,1,0.6861084999982268,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
46,0.5,1.5,54.931783082996844,,54.922771165991435,54.931783082996844,55.41998295800295,55.41998295800295,55.42812783300178,55.70651674999681,56.072089458000846,right,1.5,1,1,0.6399798759957775,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
47,0.5,1.5,56.082089040995925,,56.07257583299361,56.082089040995925,56.56469241599552,56.56469241599552,56.57822662500257,56.86150366599031,57.418761790991994,right,1.5,1,1,0.8492304170067655,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
48,0.5,1.0,57.42765904100088,,57.41923966599279,57.42765904100088,57.911968540996895,57.911968540996895,57.916435915991315,58.19975883299776,59.164369457997964,right,1.0,1,1,1.244934291986283,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
49,0.5,1.0,59.17325199999323,,59.1648889999924,59.17325199999323,59.66183270799229,59.66183270799229,59.66973391600186,59.96172187499178,60.78970333299367,right,1.0,0,0,1.1249853749905014,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
50,0.5,1.5,60.80247275000147,,60.789954915991984,60.80247275000147,61.28102887500427,61.28102887500427,61.303381416000775,61.57802291600092,62.18044045800343,right,1.5,0,0,0.8909147499944083,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
51,0.5,2.0,62.189049332999275,,62.18094170799304,62.189049332999275,62.677977874991484,62.677977874991484,62.68116091599222,62.97827116599365,63.63137808299507,left,-2.0,1,1,0.9478427080030087,949631,001,2025-09-04_10h32.50.641,Adaptive_staircase Experiment 2,,2025.1.1,None,2025-09-04 10h32.53.080502 +0530,
